Date,Open,High,Low,Close,Adj Close,Volume
2019-08-28,180.529999,181.949997,178.919998,181.759995,181.387253,9386100
2019-08-29,183.770004,186.080002,183.470001,185.570007,185.189453,10128700
2019-08-30,186.779999,186.800003,183.460007,185.669998,185.289246,10774500
2019-09-03,184.000000,185.669998,182.110001,182.389999,182.015976,9779400
2019-09-04,184.649994,187.750000,183.889999,187.139999,186.756226,11308000
2019-09-05,188.529999,191.360001,187.940002,190.899994,190.508514,13876700
2019-09-06,190.210007,190.210007,186.350006,187.490005,187.105515,15226800
2019-09-09,187.729996,188.979996,185.850006,188.759995,188.372910,14722400
2019-09-10,187.440002,188.100006,184.550003,186.169998,185.788208,15455900
2019-09-11,186.460007,189.440002,186.080002,188.490005,188.103455,11761700
2019-09-12,189.860001,190.929993,187.229996,187.470001,187.085556,11419800
2019-09-13,187.330002,187.970001,186.539993,187.190002,186.806137,11441100
2019-09-16,186.929993,187.789993,185.770004,186.220001,185.838120,8444800
2019-09-17,186.660004,188.320007,185.539993,188.080002,187.694305,9671100
2019-09-18,188.089996,189.080002,186.009995,188.139999,187.754181,9681900
2019-09-19,188.660004,191.100006,188.149994,190.139999,189.750076,10392700
2019-09-20,190.660004,193.100006,188.119995,189.929993,189.540497,19934200
2019-09-23,189.339996,190.100006,185.210007,186.820007,186.436890,13327600
2019-09-24,187.979996,188.039993,180.389999,181.279999,180.908249,18546600
2019-09-25,181.449997,183.419998,177.869995,182.800003,182.425140,18068300
2019-09-26,181.330002,181.399994,177.669998,180.110001,179.740646,16083300
2019-09-27,180.490005,180.759995,175.660004,177.100006,176.736816,14656200
2019-09-30,177.869995,178.669998,176.850006,178.080002,177.714798,10740000
2019-10-01,179.149994,179.839996,174.880005,175.809998,175.449463,17073000
2019-10-02,174.839996,176.529999,173.089996,174.600006,174.241943,16151700
2019-10-03,175.570007,179.839996,173.630005,179.380005,179.012146,16086300
2019-10-04,179.550003,180.979996,178.100006,180.449997,180.079941,10430200
2019-10-07,180.000000,181.179993,178.089996,179.679993,179.311508,9178300
2019-10-08,178.259995,180.369995,177.720001,177.750000,177.385483,9466900
2019-10-09,179.160004,180.720001,177.940002,179.850006,179.481171,7556900
2019-10-10,180.320007,181.610001,179.169998,180.029999,179.660812,8605000
2019-10-11,182.149994,186.490005,182.139999,184.190002,183.812286,14930500
2019-10-14,184.199997,184.619995,182.570007,183.279999,182.904144,7006000
2019-10-15,183.800003,190.380005,183.660004,188.889999,188.502640,15039100
2019-10-16,188.320007,189.699997,186.899994,189.550003,189.161301,10516900
2019-10-17,190.300003,190.839996,188.770004,190.389999,189.999557,9603000
2019-10-18,190.229996,191.490005,183.919998,185.850006,185.468887,16874200
2019-10-21,187.039993,189.910004,186.750000,189.759995,189.370850,8122600
2019-10-22,190.000000,190.649994,181.500000,182.339996,181.966064,19537600
2019-10-23,182.009995,186.380005,182.000000,186.149994,185.768250,12300400
2019-10-24,184.619995,186.729996,182.800003,186.380005,185.997787,11413500
2019-10-25,185.830002,189.000000,185.089996,187.889999,187.504684,8061200
2019-10-28,187.199997,189.529999,185.080002,189.399994,189.011581,13657900
2019-10-29,191.690002,192.529999,188.470001,189.309998,188.921768,13574900
2019-10-30,189.559998,190.449997,185.979996,188.250000,187.863953,28734600
2019-10-31,196.699997,198.089996,188.250000,191.649994,191.256973,42286500
2019-11-01,192.850006,194.110001,189.910004,193.619995,193.222931,21711800
2019-11-04,194.550003,197.369995,193.809998,194.720001,194.320694,16371300
2019-11-05,195.369995,195.750000,193.600006,194.320007,193.921509,9942000
2019-11-06,194.029999,194.369995,191.350006,191.550003,191.157196,10973000
2019-11-07,191.910004,193.440002,189.470001,190.419998,190.029495,13473000
2019-11-08,190.000000,192.339996,189.699997,190.839996,190.448639,10760800
2019-11-11,189.929993,190.080002,188.539993,189.610001,189.221176,8631200
2019-11-12,190.000000,195.059998,189.740005,194.470001,194.071198,17615500
2019-11-13,194.699997,195.699997,192.740005,193.190002,192.793823,10860700
2019-11-14,192.929993,194.029999,191.449997,193.149994,192.753906,9040500
2019-11-15,194.259995,195.300003,193.380005,195.100006,194.699905,11524300
2019-11-18,194.559998,198.630005,193.050003,197.399994,196.995178,16167200
