Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,113.230003,114.519997,113.080002,113.680000,98.049187,12724500
2019-07-02,113.510002,114.199997,113.220001,113.800003,98.152679,10174900
2019-07-03,113.339996,113.870003,112.260002,112.820000,97.996338,6849400
2019-07-05,113.510002,114.269997,112.919998,113.489998,98.578300,7929400
2019-07-08,112.959999,113.480003,112.500000,112.870003,98.039780,6917200
2019-07-09,112.279999,113.489998,112.150002,113.349998,98.456718,8947300
2019-07-10,113.370003,113.830002,112.739998,113.019997,98.170059,9242300
2019-07-11,113.370003,114.360001,113.120003,114.099998,99.108170,11595200
2019-07-12,114.129997,115.349998,113.930000,115.300003,100.150490,10783400
2019-07-15,115.540001,115.570000,113.529999,113.900002,98.934441,12946600
2019-07-16,113.480003,115.500000,112.919998,115.120003,99.994156,16945000
2019-07-17,114.430000,114.940002,113.730003,113.989998,99.012619,13120900
2019-07-18,113.930000,115.070000,113.550003,114.669998,99.603271,9397200
2019-07-19,114.889999,115.120003,113.400002,113.540001,98.621742,10402800
2019-07-22,112.910004,114.449997,112.769997,114.269997,99.255814,9061100
2019-07-23,114.879997,116.449997,114.820000,116.360001,101.071213,12752200
2019-07-24,115.580002,116.879997,115.519997,116.830002,101.479454,10011000
2019-07-25,116.889999,117.239998,115.320000,115.709999,100.506622,10138400
2019-07-26,115.769997,116.510002,115.529999,116.220001,100.949615,12800400
2019-07-29,116.459999,117.180000,115.790001,115.849998,100.628227,8500400
2019-07-30,115.190002,116.080002,114.760002,115.589996,100.402367,7121100
2019-07-31,116.099998,116.180000,114.860001,116.000000,100.758514,13648000
2019-08-01,115.330002,116.800003,112.599998,112.940002,98.100571,15664500
2019-08-02,112.400002,113.430000,111.400002,112.930000,98.091873,11025500
2019-08-05,110.790001,110.980003,108.269997,109.570000,95.173370,15855300
2019-08-06,110.050003,110.500000,108.339996,110.430000,95.920372,10203500
2019-08-07,108.000000,108.279999,105.940002,108.029999,93.835732,17320900
2019-08-08,109.050003,110.080002,108.720001,109.860001,95.425247,10903300
2019-08-09,109.349998,110.449997,108.290001,109.739998,95.321022,9980800
2019-08-12,108.440002,108.510002,107.209999,107.680000,93.531708,9393700
2019-08-13,107.949997,110.330002,107.029999,109.339996,94.973579,12124700
2019-08-14,106.300003,106.910004,104.449997,104.800003,91.030113,19491800
2019-08-15,104.820000,106.379997,104.339996,105.199997,91.377533,13365600
2019-08-16,106.370003,107.980003,105.870003,107.720001,93.566444,11830600
2019-08-19,109.629997,109.750000,108.419998,108.690002,94.409004,8265400
2019-08-20,107.849998,108.440002,107.239998,107.309998,93.210304,8374000
2019-08-21,108.209999,108.430000,107.449997,107.610001,93.470909,8189300
2019-08-22,108.370003,109.269997,107.930000,108.720001,94.435066,9343400
2019-08-23,108.000000,108.779999,105.110001,106.019997,92.089813,14762300
2019-08-26,106.620003,106.989998,106.010002,106.870003,92.828140,8209500
2019-08-27,107.349998,107.559998,104.839996,105.739998,91.846573,14331800
2019-08-28,105.080002,107.209999,105.040001,106.800003,92.767319,10585500
2019-08-29,108.139999,109.889999,108.019997,109.220001,94.869370,10002200
2019-08-30,109.839996,110.559998,109.470001,109.860001,95.425247,10170300
2019-09-03,108.980003,108.989998,107.320000,108.559998,94.296074,9868800
2019-09-04,109.449997,110.220001,108.559998,109.870003,95.433960,6929200
2019-09-05,111.250000,113.720001,111.199997,112.370003,97.605476,13224700
2019-09-06,112.660004,112.980003,111.959999,112.610001,97.813934,7836600
2019-09-09,113.709999,116.059998,113.599998,115.400002,100.237373,13985100
2019-09-10,116.300003,117.269997,115.730003,116.870003,101.514198,14333100
2019-09-11,116.889999,117.199997,115.379997,117.190002,101.792152,9919200
2019-09-12,116.550003,118.470001,115.919998,117.910004,102.417572,12283500
2019-09-13,119.000000,120.400002,118.750000,120.230003,104.432739,16257200
2019-09-16,118.900002,119.870003,118.379997,119.160004,103.503311,11993900
2019-09-17,118.419998,118.610001,117.239998,118.570000,102.990845,10735400
2019-09-18,118.320000,120.080002,117.750000,119.760002,104.024490,10665600
2019-09-19,119.699997,120.339996,119.089996,119.379997,103.694420,9382600
2019-09-20,119.739998,120.339996,118.870003,118.900002,103.277496,21862800
2019-09-23,117.779999,119.120003,117.680000,118.879997,103.260109,9135100
2019-09-24,118.750000,119.260002,117.040001,117.330002,101.913765,11696500
2019-09-25,117.269997,118.360001,117.120003,118.000000,102.495720,9389400
2019-09-26,117.879997,118.050003,116.949997,117.029999,101.653175,9899200
2019-09-27,117.959999,118.639999,117.279999,117.720001,102.252525,10207800
2019-09-30,118.360001,118.769997,117.220001,117.690002,102.226456,9755000
2019-10-01,118.400002,119.000000,115.410004,115.550003,100.367653,11250300
2019-10-02,114.809998,114.900002,112.930000,113.250000,98.369858,12548700
2019-10-03,112.269997,112.910004,110.519997,112.190002,98.229767,12735200
2019-10-04,112.339996,114.940002,112.269997,114.620003,100.357376,9453100
2019-10-07,114.190002,115.500000,114.070000,114.370003,100.138489,6771600
2019-10-08,113.059998,113.059998,111.660004,111.820000,97.905800,10806300
2019-10-09,112.669998,113.160004,112.070000,112.629997,98.614998,7273700
2019-10-10,113.139999,115.400002,113.000000,114.209999,99.998405,10994100
2019-10-11,116.029999,117.989998,115.870003,116.139999,101.688232,15076500
2019-10-14,115.849998,116.870003,115.660004,116.449997,101.959656,8779000
2019-10-15,118.849998,121.589996,117.870003,119.959999,105.032898,23379000
2019-10-16,119.959999,120.620003,119.379997,119.680000,104.787750,11087700
